index,budget,genres,id,keywords,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,cast,director
855,56000000,Drama History War,16072,war battle union soldier confederate soldier american civil war,en,Gods and Generals,low,21-02-2003,12923936,214.0,Released,The nations heart was touched by...,Gods and Generals,6.1,48,Stephen Lang Jeff Daniels Robert Duvall Kevin Conway C. Thomas Howell,Ronald F. Maxwell
856,55000000,Action Thriller Crime,34314,stewardess airplane shootout air marshal christmas,en,Turbulence,low,09-01-1997,11466088,100.0,Released,"If you weren't afraid of flying before, you will be now.",Turbulence,5.2,62,Ray Liotta Lauren Holly Brendan Gleeson H\u00e9ctor Elizondo Rachel Ticotin,Robert Butler
857,55000000,Comedy,19724,,en,Imagine That,low,19-06-2009,0,107.0,Released,What if your daughter's imagination... Was the secret to your success?,Imagine That,5.7,134,Eddie Murphy Thomas Haden Church Yara Shahidi Ronny Cox Stephen Rannazzisi,Karey Kirkpatrick
858,50000000,Comedy Adventure Crime Family,145220,musical the muppets,en,Muppets Most Wanted,low,20-03-2014,80383290,112.0,Released,Taking the world by farce,Muppets Most Wanted,6.2,316,Ricky Gervais Ty Burrell Tina Fey Steve Whitmire Eric Jacobson,James Bobin
859,57000000,Action Adventure Comedy Family Fantasy,14623,secret organization based on tv series golden gate bridge locker oil rig\u00a0,en,Thunderbirds,low,23-07-2004,28283637,95.0,Released,,Thunderbirds,4.2,91,Brady Corbet Soren Fulton Debora Weston Lou Hirsch Alex Barringer,Jonathan Frakes
860,55000000,Drama Romance,42297,musical los angeles burlesque burlesque dancer,en,Burlesque,mid,23-11-2010,89519773,119.0,Released,It takes a legend... to make a star,Burlesque,6.9,573,Cher Christina Aguilera Eric Dane Cam Gigandet Julianne Hough,Steve Antin
861,47000000,Drama,2841,paris prostitute loss of lover amnesia bodily disabled person,fr,Un long dimanche de fiançailles,mid,26-10-2004,0,133.0,Released,Never let go,A Very Long Engagement,7.1,346,Audrey Tautou Gaspard Ulliel Dominique Pinon Chantal Neuwirth Andr\u00e9 Dussollier,Jean-Pierre Jeunet
862,2000000,Drama Romance,802,sexual obsession hotel depression loss of mother small town,en,Lolita,mid,13-06-1962,9250000,153.0,Released,How did they ever make a movie of ...,Lolita,7.3,395,James Mason Sue Lyon Shelley Winters Peter Sellers Lois Maxwell,Stanley Kubrick
863,55000000,Action Thriller,10375,alcoholism serial killer hospital police officer detox,en,D-Tox,low,04-01-2002,6416302,96.0,Released,Survival is a Killer.,D-Tox,5.3,123,Sylvester Stallone Courtney B. Vance Tom Berenger Charles S. Dutton Jeffrey Wright,Jim Gillespie
864,54000000,Fantasy Horror Action Thriller,36586,katana mutation vampire silver superhero,en,Blade II,high,22-03-2002,155010032,117.0,Released,Faster. Sharper. Deadlier.,Blade II,6.2,1528,Wesley Snipes Kris Kristofferson Ron Perlman Leonor Varela Norman Reedus,Guillermo del Toro
865,55000000,Drama,11321,vegetarian tax collector pianist blind organ transplant,en,Seven Pounds,mid,18-12-2008,168167691,123.0,Released,Seven names. Seven strangers. One secret.,Seven Pounds,7.5,2039,Will Smith Rosario Dawson Sarah Jane Morris Woody Harrelson Michael Ealy,Gabriele Muccino
866,55000000,Action Crime Thriller,70074,,en,Bullet to the Head,mid,31-01-2013,9489829,92.0,Released,Revenge Never Gets Old.,Bullet to the Head,5.2,481,Sylvester Stallone Sung Kang Sarah Shahi Adewale Akinnuoye-Agbaje Jason Momoa,Walter Hill
867,54000000,Crime Drama Thriller,242,italy christianity new york assassination italo-american,en,The Godfather: Part III,mid,24-12-1990,136766062,162.0,Released,All the power on earth can't change destiny.,The Godfather: Part III,7.1,1546,Al Pacino Diane Keaton Andy Garc\u00eda Talia Shire Sofia Coppola,Francis Ford Coppola
868,57000000,Comedy Drama Romance,9621,suicide hotel room suicide attempt new love funeral,en,Elizabethtown,mid,06-10-2005,52034889,123.0,Released,It's a heck of a place to find yourself,Elizabethtown,6.1,327,Orlando Bloom Kirsten Dunst Susan Sarandon Alec Baldwin Bruce McGill,Cameron Crowe
869,54000000,Comedy Romance,1819,roommate love of one's life newlywed,en,"You, Me and Dupree",low,14-07-2006,130431368,108.0,Released,Two's company. Dupree's a crowd.,"You, Me and Dupree",5.4,407,Kate Hudson Owen Wilson Matt Dillon Michael Douglas Seth Rogen,Anthony Russo
870,54000000,Action Adventure Fantasy Science Fiction,8536,saving the world dc comics sequel superhero based on comic book,en,Superman II,mid,04-12-1980,190458706,127.0,Released,The Man of Steel meets his match!,Superman II,6.5,629,Gene Hackman Christopher Reeve Ned Beatty Jackie Cooper Sarah Douglas,Richard Lester
871,54000000,Drama,8046,new york mentally disabled kidnapping blackmail mission of murder,en,Gigli,low,01-08-2003,7266209,121.0,Released,Life doesn't play by the rules.,Gigli,3.5,104,Ben Affleck Jennifer Lopez Justin Bartha Lainie Kazan Lenny Venito,Martin Brest
872,55000000,Drama Thriller,1717,corruption journalist based on novel blackmail manipulation,en,All the King's Men,low,10-09-2006,9450897,125.0,Released,Some people will do anything to gain power. Some will do anything to keep it.,All the King's Men,5.7,95,Sean Penn Jude Law Kate Winslet James Gandolfini Patricia Clarkson,Steven Zaillian
873,46000000,Action Adventure Crime Thriller,479,corruption black people italo-american brother sister relationship drug dealer,en,Shaft,low,15-06-2000,107196498,99.0,Released,"Still the man, any questions?",Shaft,5.5,308,Samuel L. Jackson Jeffrey Wright Christian Bale Busta Rhymes Dan Hedaya,John Singleton
874,53000000,Animation Family,9444,tzar musical russian revolution train explosion foreign language adaptation,en,Anastasia,mid,20-11-1997,139804348,94.0,Released,Discover the Adventure Behind the Greatest Mystery of Our Time.,Anastasia,7.4,1432,Meg Ryan John Cusack Christopher Lloyd Angela Lansbury Hank Azaria,Gary Goldman
875,52500000,Drama Music Romance,824,duke musical writer's block music terminal illness,en,Moulin Rouge!,mid,09-03-2001,179213434,127.0,Released,No Laws. No Limits. One Rule. Never Fall In Love.,Moulin Rouge!,7.4,1300,Nicole Kidman Ewan McGregor John Leguizamo Jim Broadbent Richard Roxburgh,Baz Luhrmann
876,75000000,Mystery Thriller Crime,11456,menace adoption dangerous adoptive father threat to death,en,Domestic Disturbance,low,30-10-2001,54249294,89.0,Released,He will do anything to protect his family.,Domestic Disturbance,5.4,113,John Travolta Vince Vaughn Teri Polo Matt O'Leary Steve Buscemi,Harold Becker
877,53000000,Crime Drama,261023,boston based on true story organized crime,en,Black Mass,mid,04-09-2015,98837872,122.0,Released,Keep your enemies close.,Black Mass,6.3,1242,Johnny Depp Joel Edgerton Benedict Cumberbatch Dakota Johnson Kevin Bacon,Scott Cooper
878,90000000,War Drama History,3683,world war ii dying and death pacific iwo jima aftercreditsstinger,en,Flags of Our Fathers,mid,18-10-2006,65900249,132.0,Released,They fight for their country but they die for their friends.,Flags of Our Fathers,6.7,526,Ryan Phillippe Adam Beach Jesse Bradford John Benjamin Hickey John Slattery,Clint Eastwood
879,53000000,Drama Crime Thriller,22803,tattoo secret passage baseball bat deal explosion,en,Law Abiding Citizen,mid,15-10-2009,126690726,109.0,Released,The System Must Pay.,Law Abiding Citizen,7.2,1486,Jamie Foxx Gerard Butler Colm Meaney Bruce McGill Leslie Bibb,F. Gary Gray
880,67000000,Thriller Action Horror,285923,exploitation slasher zombie killer,en,Grindhouse,low,06-04-2007,25037897,191.0,Released,A double feature that'll tear you in two!,Grindhouse,6.8,459,Kurt Russell Zo\u00eb Bell Rosario Dawson Vanessa Ferlito Sydney Tamiia Poitier,Robert Rodriguez
881,0,Drama Thriller,39437,,en,Beloved,low,16-10-1998,0,172.0,Released,The past has a life of its own.,Beloved,5.9,26,Oprah Winfrey Danny Glover Thandie Newton Lisa Gay Hamilton Albert Hall,Jonathan Demme
882,0,Drama Romance,1950,poker sport las vegas,en,Lucky You,low,01-05-2007,5761917,124.0,Released,Change your game. Change your life.,Lucky You,5.4,81,Eric Bana Drew Barrymore Robert Duvall Debra Messing Robert Downey Jr.,Curtis Hanson
883,52000000,Drama Crime,640,con man biography fbi agent overhead camera shot attempted jailbreak,en,Catch Me If You Can,high,25-12-2002,352114312,141.0,Released,The true story of a real fake.,Catch Me If You Can,7.7,3795,Leonardo DiCaprio Tom Hanks Christopher Walken Martin Sheen Nathalie Baye,Steven Spielberg
884,40000000,Thriller Drama History,97630,assassination cia hotel terrorist prisoner,en,Zero Dark Thirty,mid,19-12-2012,132820716,157.0,Released,The Greatest Manhunt in History,Zero Dark Thirty,6.7,1702,Jessica Chastain Jason Clarke Mark Strong Joel Edgerton Chris Pratt,Kathryn Bigelow
885,52000000,Romance Comedy,9767,bowling chicago american football flat baseball,en,The Break-Up,mid,01-06-2006,204999686,106.0,Released,. . . pick a side.,The Break-Up,5.6,832,Vince Vaughn Jennifer Aniston Joey Lauren Adams Cole Hauser Jon Favreau,Peyton Reed
886,52000000,Comedy Romance,11631,single parent greece musical daughter single,en,Mamma Mia!,mid,03-07-2008,609841637,108.0,Released,Take a trip down the aisle you'll never forget,Mamma Mia!,6.4,1386,Meryl Streep Pierce Brosnan Amanda Seyfried Colin Firth Stellan Skarsg\u00e5rd,Phyllida Lloyd
887,52000000,Comedy Romance,32856,flower married couple florist kiss single,en,Valentine's Day,mid,10-02-2010,216485654,125.0,Released,A Love Story. More or Less.,Valentine's Day,5.7,1013,Jessica Alba Jessica Biel Bradley Cooper Eric Dane Patrick Dempsey,Garry Marshall
888,50000000,Action Adventure Comedy,6519,sheriff farm bikini redneck moonshine,en,The Dukes of Hazzard,low,05-08-2005,110803676,104.0,Released,Cousins. Outlaws. Thrillbillies.,The Dukes of Hazzard,5.1,316,Johnny Knoxville Seann William Scott Jessica Simpson Willie Nelson Burt Reynolds,Jay Chandrasekhar
889,52000000,Drama History War,8741,based on novel japanese world war ii battle assignment invasion,en,The Thin Red Line,mid,25-12-1998,98126565,170.0,Released,Every man fights his own war.,The Thin Red Line,7.2,771,Sean Penn Adrien Brody Jim Caviezel Ben Chaplin George Clooney,Terrence Malick
890,52000000,Comedy,49520,jealousy chance wish change man change,en,The Change-Up,mid,05-08-2011,75450437,112.0,Released,Who says men can't change?,The Change-Up,5.9,736,Olivia Wilde Ryan Reynolds Jason Bateman Leslie Mann Mircea Monroe,David Dobkin
891,82000000,Comedy Drama Romance,1850,show business comedian wrestling,en,Man on the Moon,mid,22-12-1999,47434430,118.0,Released,"Hello, my name is Andy and this is my movie.",Man on the Moon,6.9,435,Jim Carrey Courtney Love Bob Zmuda Danny DeVito Gerry Becker,Milo\u0161 Forman
892,52000000,Drama Crime,524,poker drug abuse 1970s overdose illegal prostitution,en,Casino,mid,22-11-1995,116112375,178.0,Released,No one stays at the top forever.,Casino,7.8,1307,Robert De Niro Sharon Stone Joe Pesci James Woods Don Rickles,Martin Scorsese
893,52000000,Action Crime Thriller,26389,paris cia undercover explosive pimp,en,From Paris with Love,mid,05-02-2010,52826594,92.0,Released,Two agents. One city. No merci.,From Paris with Love,6.1,675,John Travolta Jonathan Rhys Meyers Kasia Smutniak Richard Durden Bing Yin,Pierre Morel
894,52000000,Action Comedy Fantasy,11817,monk homeless person injection fall knife fight,en,Bulletproof Monk,low,28-03-2003,0,104.0,Released,A power beyond measure requires a protector without equal.,Bulletproof Monk,5.1,278,Seann William Scott Jaime King Karel Roden Chow Yun-fat K. C. Collins,Paul Hunter
895,51000000,Comedy,2123,schizophrenia ex-cop aftercreditsstinger duringcreditsstinger,en,"Me, Myself & Irene",mid,22-06-2000,149270999,116.0,Released,From gentle to mental.,"Me, Myself & Irene",6.1,927,Jim Carrey Ren\u00e9e Zellweger Anthony Anderson Robert Forster Richard Jenkins,Bobby Farrelly
896,51000000,Animation Comedy Family,9907,peasant farm cow cojote family,en,Barnyard,low,04-08-2006,72779000,90.0,Released,What happens in the barn stays in the barn,Barnyard,5.3,225,Courteney Cox Kevin James Sam Elliott Danny Glover Wanda Sykes,Steve Oedekerk
897,0,Comedy Family,9969,holiday massachusetts neighbor christmas,en,Deck the Halls,low,22-11-2006,47231070,93.0,Released,There glows the neighborhood,Deck the Halls,5.1,109,Danny DeVito Matthew Broderick Kristin Davis Kristin Chenoweth Fred Armisen,John Whitesell
898,50000000,Adventure Fantasy Drama Romance,18239,moon cinema vampire werewolf fang vamp,en,The Twilight Saga: New Moon,high,15-03-2009,709827462,130.0,Released,The Next Chapter Begins.,The Twilight Saga: New Moon,5.6,2436,Kristen Stewart Robert Pattinson Taylor Lautner Billy Burke Ashley Greene,Chris Weitz
899,60000000,Adventure Animation Comedy Family Fantasy,808,magic liberation lordship castle robin hood,en,Shrek,high,16-05-2001,484409218,90.0,Released,The greatest fairy tale never told.,Shrek,7.3,4056,Mike Myers Eddie Murphy Cameron Diaz John Lithgow Vincent Cassel,Andrew Adamson
900,50200000,Science Fiction Thriller Romance,38050,hotel dancer hat senator future,en,The Adjustment Bureau,mid,03-03-2011,127869379,106.0,Released,Fight for your fate.,The Adjustment Bureau,6.5,1652,Matt Damon Emily Blunt John Slattery Anthony Mackie Lauren Hodges,George Nolfi
901,48000000,Adventure,8367,england crusade mercifulness robin hood folk hero,en,Robin Hood: Prince of Thieves,mid,14-06-1991,390493908,143.0,Released,"For the good of all men, and the love of one woman, he fought to uphold justice by breaking the law.",Robin Hood: Prince of Thieves,6.6,909,Kevin Costner Morgan Freeman Christian Slater Mary Elizabeth Mastrantonio Alan Rickman,Kevin Reynolds
902,50000000,Comedy Drama Romance,9390,stadium career sport sports agent,en,Jerry Maguire,mid,06-12-1996,273552592,139.0,Released,Everybody loved him... Everybody disappeared.,Jerry Maguire,6.7,913,Tom Cruise Cuba Gooding Jr. Ren\u00e9e Zellweger Kelly Preston Alison Armitage,Cameron Crowe
903,50000000,Comedy Fantasy,72105,friendship love teddy bear toy comes to life wishes come true,en,Ted,high,29-06-2012,549368315,106.0,Released,Ted is coming.,Ted,6.3,4697,Mark Wahlberg Mila Kunis Seth MacFarlane Joel McHale Giovanni Ribisi,Seth MacFarlane
904,50000000,Comedy Romance,2898,single parent waitress lone wolf friendship neighbor,en,As Good as It Gets,mid,19-12-1997,314178011,139.0,Released,A comedy from the heart that goes for the throat.,As Good as It Gets,7.2,915,Jack Nicholson Helen Hunt Greg Kinnear Cuba Gooding Jr. Skeet Ulrich,James L. Brooks
905,50000000,Comedy Drama,10312,nurse hospital doctor laughter,en,Patch Adams,mid,25-12-1998,202292902,115.0,Released,Laughter is contagious,Patch Adams,7.0,832,Robin Williams Philip Seymour Hoffman Bob Gunton Peter Coyote Michael Jeter,Tom Shadyac
906,50000000,Comedy,109443,journalism mustache tv news newsroom gang warfare,en,Anchorman 2: The Legend Continues,mid,18-12-2013,173649015,119.0,Released,It's kind of a big deal,Anchorman 2: The Legend Continues,6.0,923,Will Ferrell Steve Carell Paul Rudd Christina Applegate David Koechner,Adam McKay
907,50000000,Comedy Romance,2022,love letter new hampshire ferrari liar city country contrast,en,Mr. Deeds,low,28-06-2002,171269535,96.0,Released,"Small town kid, big time right hook.",Mr. Deeds,5.6,644,Adam Sandler Winona Ryder John Turturro Allen Covert Peter Gallagher,Steven Brill
908,50000000,Thriller Science Fiction Mystery,37686,1970s secret alien train crash pistol,en,Super 8,mid,08-06-2011,260095987,112.0,Released,It Arrives.,Super 8,6.6,2435,Joel Courtney Elle Fanning Riley Griffiths Kyle Chandler Ryan Lee,J.J. Abrams
909,52000000,Drama,462,biography based on true story single mother water pollution environmental law,en,Erin Brockovich,mid,17-03-2000,256271286,131.0,Released,She brought a small town to its feet and a huge corporation to its knees.,Erin Brockovich,7.1,716,Julia Roberts Albert Finney Aaron Eckhart Marg Helgenberger Cherry Jones,Steven Soderbergh
910,50000000,Comedy Romance,9919,new york bet journalist therapist advertising expert,en,How to Lose a Guy in 10 Days,mid,07-02-2003,177371441,116.0,Released,One of them is lying. So is the other.,How to Lose a Guy in 10 Days,6.3,850,Kate Hudson Matthew McConaughey Kathryn Hahn Annie Parisse Adam Goldberg,Donald Petrie
911,50000000,Crime Comedy Action,187017,high school undercover cop buddy comedy aftercreditsstinger duringcreditsstinger,en,22 Jump Street,mid,05-06-2014,188441614,112.0,Released,They're not 21 anymore,22 Jump Street,7.0,3319,Jonah Hill Channing Tatum Dave Franco Ice Cube Nick Offerman,Phil Lord
912,60000000,Horror Romance,628,paris san francisco vampire plantation pity,en,Interview with the Vampire,mid,11-11-1994,223664608,123.0,Released,Drink from me and live forever,Interview with the Vampire,7.2,1516,Brad Pitt Tom Cruise Kirsten Dunst Antonio Banderas Christian Slater,Neil Jordan
913,70000000,Comedy,10201,bungee-jump scooter,en,Yes Man,mid,09-12-2008,225990978,104.0,Released,One Word Can Change Everything.,Yes Man,6.4,1813,Jim Carrey Zooey Deschanel Rhys Darby Sasha Alexander Fionnula Flanagan,Peyton Reed
914,50000000,Action Comedy,302699,spy cia espionage high school reunion reference to facebook,en,Central Intelligence,mid,15-06-2016,216972543,107.0,Released,Saving the world takes a little Hart and a big Johnson,Central Intelligence,6.2,1650,Dwayne Johnson Kevin Hart Amy Ryan Aaron Paul Danielle Nicolet,Rawson Marshall Thurber
915,0,Drama Romance,9441,divorce rebellious daughter freeze frame custody school play,en,Stepmom,low,25-12-1998,0,124.0,Released,Be there for the joy. Be there for the tears. Be there for each other.,Stepmom,6.9,277,Julia Roberts Susan Sarandon Ed Harris Jena Malone Liam Aiken,Chris Columbus
916,50000000,Comedy,274167,daddys home,en,Daddy's Home,mid,25-12-2015,242786137,96.0,Released,Choose your Daddy,Daddy's Home,5.8,854,Will Ferrell Mark Wahlberg Linda Cardellini Thomas Haden Church Scarlett Estevez,Sean Anders
917,50000000,Fantasy Comedy Music,224141,witch cinderella prince fairy tale musical,en,Into the Woods,high,25-12-2014,212902372,125.0,Released,Be careful what you wish for...,Into the Woods,5.6,1652,Meryl Streep Emily Blunt James Corden Anna Kendrick Chris Pine,Rob Marshall
918,45000000,Crime Drama Thriller,388,bank manager kidnapping nazi background document ultimatum,en,Inside Man,mid,23-03-2006,184376254,129.0,Released,It looked like the perfect bank robbery. But you can't judge a crime by its cover.,Inside Man,7.3,1630,Denzel Washington Clive Owen Jodie Foster Christopher Plummer Willem Dafoe,Spike Lee
919,90000000,Drama Action Thriller Crime,2112,new york heroin money criminal,en,Payback,low,05-02-1999,161626121,100.0,Released,No More Mr. Nice Guy.,Payback,6.7,548,Mel Gibson Kris Kristofferson Gregg Henry Maria Bello David Paymer,Brian Helgeland
920,50000000,Action Adventure Drama Mystery Science Fiction,10329,gorilla kongo diamond mine diamond,en,Congo,low,09-06-1995,152022101,109.0,Released,Where you are the endangered species.,Congo,5.0,213,Laura Linney Dylan Walsh Ernie Hudson Tim Curry Grant Heslov,Frank Marshall
921,50000000,Drama Comedy Family,74465,zoo,en,We Bought a Zoo,mid,22-12-2011,120081841,124.0,Released,A True Zoo Story,We Bought a Zoo,6.5,909,Matt Damon Scarlett Johansson Thomas Haden Church Colin Ford Maggie Elizabeth Jones,Cameron Crowe
922,50000000,Action Adventure Drama Mystery Science Fiction,13811,cataclysm code suspense end of the world time capsule,en,Knowing,mid,19-03-2009,155446362,121.0,Released,Knowing is everything...,Knowing,5.9,1486,Nicolas Cage Rose Byrne Chandler Canterbury Ben Mendelsohn Nadia Townsend,Alex Proyas
923,50000000,Comedy,6877,hotel mom romantic comedy lying living with parents pretend relationship,en,Failure to Launch,low,10-03-2006,88715192,97.0,Released,"To leave the nest, some men just need a little push.",Failure to Launch,5.5,399,Matthew McConaughey Sarah Jessica Parker Zooey Deschanel Justin Bartha Bradley Cooper,Tom Dey
924,50000000,Drama Horror Thriller,10320,nun based on novel bath tub nightmare son,en,The Ring Two,mid,17-03-2005,161451538,110.0,Released,The dead don't sleep.,The Ring Two,5.4,632,Naomi Watts Simon Baker Elizabeth Perkins David Dorfman Gary Cole,Hideo Nakata
925,50000000,Comedy Drama Romance,50646,soulmates midlife crisis marriage crisis womanizer law school,en,"Crazy, Stupid, Love.",mid,29-07-2011,142851197,118.0,Released,This Is Stupid,"Crazy, Stupid, Love.",7.0,2443,Steve Carell Julianne Moore Ryan Gosling Emma Stone Marisa Tomei,Glenn Ficarra
926,50000000,Animation Comedy Family,8920,competition moderator lasagne garfield,en,Garfield,low,10-06-2004,200804534,80.0,Released,Get ready for frisky business.,Garfield,5.2,820,Bill Murray Breckin Meyer Jennifer Love Hewitt Stephen Tobolowsky Evan Arnold,Peter Hewitt
927,60000000,Comedy Family,13673,holiday christmas,en,Christmas with the Kranks,low,24-11-2004,0,99.0,Released,No! Ho! Ho!,Christmas with the Kranks,5.2,193,Tim Allen Jamie Lee Curtis Dan Aykroyd M. Emmet Walsh Elizabeth Franz,Joe Roth
928,50000000,Drama,60308,underdog based on novel baseball teamwork sport,en,Moneyball,mid,22-09-2011,110206216,133.0,Released,What are you really worth?,Moneyball,7.0,1381,Brad Pitt Jonah Hill Philip Seymour Hoffman Robin Wright Chris Pratt,Bennett Miller
929,50000000,Action Drama Science Fiction Thriller,6950,river general research army serum,en,Outbreak,mid,10-03-1995,189859560,127.0,Released,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.,Outbreak,6.3,513,Dustin Hoffman Rene Russo Morgan Freeman Kevin Spacey Cuba Gooding Jr.,Wolfgang Petersen
930,50000000,Action Thriller Mystery,225574,airplane conspiracy airplane crash cell phone hijack,en,Non-Stop,high,26-01-2014,222809600,106.0,Released,The hijacking was just the beginning.,Non-Stop,6.8,2268,Liam Neeson Julianne Moore Scoot McNairy Michelle Dockery Nate Parker,Jaume Collet-Serra
931,50000000,Adventure Family Fantasy Science Fiction Thriller,13836,spacecraft laser teleportation telekinesis alien,en,Race to Witch Mountain,mid,12-03-2009,106303988,98.0,Released,The race is on,Race to Witch Mountain,5.5,509,Dwayne Johnson AnnaSophia Robb Alexander Ludwig Carla Gugino Chris Marquette,Andy Fickman
932,54000000,Action Thriller Fantasy,752,detective vatican fascism satanism fascist,en,V for Vendetta,high,15-03-2006,132511035,132.0,Released,People should not be afraid of their governments. Governments should be afraid of their people.,V for Vendetta,7.7,4442,Natalie Portman Hugo Weaving Stephen Rea Stephen Fry John Hurt,James McTeigue
933,50000000,Action Adventure Comedy Western,6038,london england indian territory emperor revenge murder,en,Shanghai Knights,low,06-02-2003,88323487,115.0,Released,A Royal Kick In The Arse.,Shanghai Knights,6.0,692,Jackie Chan Owen Wilson Fann Wong Aaron Taylor-Johnson Aidan Gillen,David Dobkin
934,50000000,Adventure Animation Comedy Family,9975,museum product placement balloon jungle monkey,en,Curious George,low,10-02-2006,69834815,86.0,Released,Get Carried Away With The Cutest Little Monkey Around!,Curious George,6.2,106,Will Ferrell Drew Barrymore David Cross Eugene Levy Dick Van Dyke,Matthew O'Callaghan
935,50000000,Comedy Family Adventure Fantasy Romance,11451,car race victory car nascar woman director,en,Herbie Fully Loaded,low,22-06-2005,66002004,101.0,Released,Start your engines...,Herbie Fully Loaded,5.1,542,Lindsay Lohan Michael Keaton Matt Dillon Breckin Meyer Justin Long,Angela Robinson
936,50000000,Thriller,12103,cemetery diamant suspense psychiatrist killer,en,Don't Say a Word,low,28-09-2001,100020092,113.0,Released,...I'll never tell.,Don't Say a Word,6.0,220,Michael Douglas Sean Bean Brittany Murphy Skye McCole Bartusiak Guy Torry,Gary Fleder
937,50000000,Fantasy Horror Action,60304,witch black magic steampunk good vs evil troll,en,Hansel & Gretel: Witch Hunters,mid,17-01-2013,224803475,88.0,Released,Classic tale. New twist.,Hansel & Gretel: Witch Hunters,5.7,3239,Jeremy Renner Gemma Arterton Famke Janssen Pihla Viitala Derek Mears,Tommy Wirkola
938,50000000,Thriller Drama,2251,adultery infidelity eroticism literature lover,en,Unfaithful,low,10-05-2002,119137784,124.0,Released,Where do you go when you've gone too far?,Unfaithful,6.3,276,Richard Gere Diane Lane Olivier Martinez Erik Per Sullivan Zeljko Ivanek,Adrian Lyne
939,50000000,Action Thriller Science Fiction Adventure,46529,secret identity alien teenage boy teenage hero alien teenager,en,I Am Number Four,mid,18-02-2011,144492830,109.0,Released,Three like him have already been killed…he is Number Four.,I Am Number Four,5.9,1567,Alex Pettyfer Timothy Olyphant Teresa Palmer Dianna Agron Callan McAuliffe,D.J. Caruso
940,50000000,Drama Thriller,231,anti terror bomb assassination middle east lebanon,en,Syriana,low,23-11-2005,94000000,128.0,Released,Everything is connected.,Syriana,6.3,451,George Clooney Matt Damon Jeffrey Wright Chris Cooper Amanda Peet,Stephen Gaghan
941,50000000,Action Drama History Thriller War,300671,based on novel assault rifle mercenary libya biography,en,13 Hours: The Secret Soldiers of Benghazi,mid,13-01-2016,69411370,144.0,Released,"When everything went wrong, six men had the courage to do what was right.",13 Hours: The Secret Soldiers of Benghazi,7.0,938,James Badge Dale John Krasinski Max Martini Pablo Schreiber Toby Stephens,Michael Bay
942,50000000,Romance Animation Adventure Comedy Family,228326,love triangle afterlife day of the dead bullfighting,en,The Book of Life,mid,01-10-2014,97437106,95.0,Released,,The Book of Life,7.3,755,Diego Luna Channing Tatum Zoe Saldana Christina Applegate Eugenio Derbez,Jorge R. Gutierrez
943,45000000,Thriller,9754,bank technology blackmail hacker seattle,en,Firewall,low,10-02-2006,82800000,105.0,Released,Nothing Is More Dangerous Than A Man With Everything To Lose.,Firewall,5.6,267,Harrison Ford Paul Bettany Virginia Madsen Carly Schroeder Jimmy Bennett,Richard Loncraine
944,50000000,Crime Drama Thriller,66,corruption assassination washington d.c. rape white house,en,Absolute Power,low,14-02-1997,50068310,121.0,Released,Corrupts Absolutely.,Absolute Power,6.4,223,Clint Eastwood Gene Hackman Ed Harris Scott Glenn Laura Linney,Clint Eastwood
945,50000000,Action Drama,4421,poem middle east helicopter satellite navy,en,G.I. Jane,low,22-08-1997,48169156,125.0,Released,Failure is not an option.,G.I. Jane,6.0,395,Demi Moore Viggo Mortensen Anne Bancroft Jason Beghe Daniel von Bargen,Ridley Scott
946,50000000,Drama Thriller Mystery,2649,brother brother relationship birthday danger of life birthday party surprising,en,The Game,high,12-09-1997,109423648,129.0,Released,What do you get for the man who has everything?,The Game,7.5,1506,Michael Douglas Sean Penn Deborah Kara Unger James Rebhorn Spike Jonze,David Fincher
947,50000000,Horror Mystery,588,monster mother role burning of witches fog suffering,en,Silent Hill,mid,21-04-2006,97607453,125.0,Released,We've been expecting you.,Silent Hill,6.3,1067,Radha Mitchell Sean Bean Laurie Holden Deborah Kara Unger Kim Coates,Christophe Gans
948,0,Comedy,10393,american football strike sport coach misfit,en,The Replacements,low,07-08-2000,0,118.0,Released,Throw the ball. Catch the girl. Keep it simple.,The Replacements,6.1,203,Keanu Reeves Gene Hackman Brooke Langton Orlando Jones Faizon Love,Howard Deutch
949,50000000,Comedy,71552,wife husband relationship sequel family reunion masturbation scat,en,American Reunion,mid,04-04-2012,234989584,113.0,Released,Save the best piece for last.,American Reunion,6.1,1611,Jason Biggs Alyson Hannigan Seann William Scott Chris Klein Thomas Ian Nicholas,Jon Hurwitz
950,50000000,Action Adventure Crime Drama Mystery,9631,corruption hostage pension innocence police,en,The Negotiator,mid,29-07-1998,44547681,140.0,Released,He frees hostages for a living. Now he's taking hostages to survive.,The Negotiator,6.8,582,Samuel L. Jackson Kevin Spacey David Morse Ron Rifkin John Spencer,F. Gary Gray
951,50000000,Action Thriller,216282,tornado student found footage disaster movie,en,Into the Storm,blockbuster,06-08-2014,160602194,89.0,Released,Prepare to go,Into the Storm,5.8,817,Richard Armitage Sarah Wayne Callies Matt Walsh Nathan Kress Alycia Debnam-Carey,Steven Quale
952,50000000,Action Comedy Crime,306,detective undercover security camera carousel  investigation,en,Beverly Hills Cop III,blockbuster,24-05-1994,119208989,104.0,Released,,Beverly Hills Cop III,5.5,434,Eddie Murphy Judge Reinhold H\u00e9ctor Elizondo Gilbert R. Hill Timothy Carhart,John Landis
